Gene,P.Value,Log FC
SMCR6,2.68e-01,-2.89e-01
SLC35A2,3.63e-01,-1.31e-01
CLUAP1,2.79e-01,2.26e-01
TMEM184A,3.08e-01,9.88e-02
PROC,7.86e-01,3.76e-02
PSMA3,4.64e-01,1.00e-01
MYO1E,6.75e-01,-8.87e-02
RRP7B,2.86e-01,-1.17e-01
CAPZA1,2.37e-01,1.68e-01
CHN2,3.78e-01,-1.45e-01
KRTAP4-8,2.40e-01,-1.23e-01
PGLYRP2,4.17e-01,8.39e-02
MAP2K6,2.53e-01,-1.26e-01
C10orf120,2.09e-01,-1.04e-01
GYG2P1,2.08e-01,-8.77e-02
BCL2L12,2.29e-01,1.83e-01
TAF4,2.18e-01,1.29e-01
PAPL,5.54e-01,-1.16e-01
LOC100128703,3.46e-01,-1.41e-01
C1orf81,2.18e-01,1.52e-01
THSD7B,2.14e-01,-9.66e-02
KIF26B,2.36e-01,1.09e-01
SLC9A1,2.11e-01,-8.86e-02
ASPH,5.85e-01,1.02e-01
RANBP9,2.28e-01,-1.74e-01
DLEU2L,5.26e-01,1.41e-01
LOC100129129,2.55e-01,1.90e-01
UNC80,5.22e-01,-8.79e-02
ADAM23,7.61e-01,8.79e-02
LOC255654,2.20e-01,-1.56e-01
TRPC3,9.25e-01,1.33e-02
CCDC38,2.47e-01,-7.03e-02
PPP2R1A,9.28e-01,2.10e-02
P2RY4,2.49e-01,-1.87e-01
SLC9A8,2.24e-01,-1.68e-01
SLC25A37,3.31e-01,2.56e-01
PRKAB2,2.82e-01,-1.42e-01
LOC100132319,2.41e-01,-8.35e-02
MAGEA2B,2.08e-01,-7.79e-02
TRNT1,2.62e-01,-1.30e-01
IFIT1,2.77e-01,2.02e-01
ASTE1,3.32e-01,1.89e-01
CNPY1,6.31e-01,7.07e-02
SPTBN4,2.64e-01,-1.29e-01
RPL23AP7,3.66e-01,1.70e-01
GGCT,5.65e-01,9.27e-02
LOC100131733,2.67e-01,2.68e-01
GPC1,5.07e-01,-1.48e-01
LOC100132188,2.13e-01,8.82e-02
FLJ46552,3.15e-01,-1.25e-01
NR2E3,2.09e-01,-1.02e-01
PCGF1,2.34e-01,1.94e-01
MDGA2,7.83e-01,-1.06e-01
KLF9,9.74e-01,-1.83e-02
CPNE2,2.22e-01,-1.02e-01
LPIN3,9.72e-01,-1.17e-02
CMIP,6.08e-01,-1.11e-01
LOC440386,2.16e-01,-7.97e-02
FLJ37786,4.76e-01,-9.38e-02
AQP7,6.32e-01,-1.35e-01
CBS,3.63e-01,-1.67e-01
EPHA5,3.80e-01,-2.28e-01
MUM1,2.35e-01,-1.76e-01
CARD18,2.42e-01,-1.10e-01
DNAJC4,2.11e-01,-1.13e-01
NEURL,4.22e-01,3.70e-01
SPRR1A,2.52e-01,-2.25e-01
KLHL9,2.38e-01,1.44e-01
FRMD7,2.94e-01,-1.04e-01
MICALCL,2.66e-01,8.63e-02
COQ7,2.30e-01,-1.83e-01
ACBD6,2.25e-01,-1.34e-01
PLK1S1,3.74e-01,-1.67e-01
GABRR1,2.04e-01,-7.59e-02
PPP6R1,3.27e-01,2.03e-01
FAM3D,2.24e-01,-1.47e-01
C11orf54,3.10e-01,-1.91e-01
TUBGCP4,3.10e-01,-1.47e-01
PASK,4.99e-01,-8.56e-02
GRIK1,4.10e-01,-1.41e-01
PRSS45,2.47e-01,-9.91e-02
ART4,2.47e-01,-7.93e-02
EDN3,3.03e-01,-1.68e-01
RASGRP3,4.40e-01,-3.92e-01
IDUA,2.49e-01,-1.62e-01
PFDN6,2.59e-01,-2.25e-01
BAAT,7.54e-01,-4.15e-02
BSCL2,8.37e-01,-6.86e-02
CLRN1,2.81e-01,-2.26e-01
WDR45,3.00e-01,-9.30e-02
IQCA1,2.45e-01,1.14e-01
LPO,2.27e-01,-1.22e-01
DBT,4.56e-01,-1.50e-01
LIPA,8.11e-01,8.13e-02
RUNDC1,3.19e-01,-1.99e-01
FAM81A,5.10e-01,-3.74e-01
ZNF45,2.19e-01,1.33e-01
FAM71C,2.69e-01,8.02e-02
MCF2L,2.76e-01,-1.81e-01
C1orf70,3.95e-01,-1.51e-01
SSX7,2.44e-01,-1.59e-01
DOPEY1,2.23e-01,-1.61e-01
C9orf85,6.44e-01,-6.91e-02
ODF4,2.15e-01,-7.48e-02
DAK,2.43e-01,-1.36e-01
DDX21,9.49e-01,-1.38e-02
MMP11,2.45e-01,-2.11e-01
PPP1R12A,3.07e-01,1.38e-01
CHD1L,2.99e-01,-1.44e-01
SLC35E1,2.94e-01,7.85e-02
ZFP91,3.34e-01,-1.43e-01
KIFC2,2.30e-01,-1.23e-01
ZNF527,2.23e-01,-1.09e-01
ZNF850,2.58e-01,1.34e-01
CDH6,2.12e-01,-8.37e-02
PSME4,4.09e-01,-1.61e-01
LARP1,2.76e-01,1.08e-01
MPHOSPH6,3.37e-01,-1.63e-01
FCN2,8.04e-01,4.14e-02
CCDC34,7.69e-01,8.22e-02
GIP,2.46e-01,-1.40e-01
CD244,2.12e-01,-1.00e-01
ZNF614,3.40e-01,1.57e-01
KLK15,2.29e-01,-1.06e-01
TEN1,3.38e-01,-1.48e-01
C9orf72,3.07e-01,2.58e-01
INHA,2.25e-01,-9.97e-02
LOC645434,2.33e-01,9.75e-02
DLG2,4.39e-01,1.25e-01
C9orf62,4.63e-01,-1.47e-01
HIAT1,6.10e-01,-9.09e-02
TFPI,9.99e-01,1.84e-04
CXCR5,8.82e-01,-2.24e-02
GPR182,3.04e-01,1.42e-01
FAM74A1,2.47e-01,-1.95e-01
TCN2,2.40e-01,1.85e-01
TMEM200A,6.75e-01,-8.62e-02
ABCA6,4.91e-01,-5.62e-01
TNIP3,2.88e-01,-1.16e-01
CXorf36,2.22e-01,-9.33e-02
FLJ41455,4.65e-01,1.34e-01
MYADML,2.08e-01,-9.58e-02
SRD5A1,4.26e-01,9.55e-02
LOC400499,4.29e-01,-2.43e-01
DPY30,3.65e-01,1.20e-01
AKR1C1,2.72e-01,-1.05e-01
RGSL1,2.50e-01,-9.74e-02
MTFR1,2.46e-01,-1.18e-01
HMGCLL1,3.30e-01,-3.95e-01
SNAP47,5.73e-01,1.11e-01
CACYBP,3.85e-01,2.17e-01
OR2T2,2.09e-01,-8.73e-02
RTKN2,3.03e-01,-1.27e-01
MOK,3.70e-01,-2.15e-01
QSOX1,3.22e-01,-1.66e-01
DPP6,2.61e-01,-8.64e-02
VAX2,6.60e-01,6.40e-02
CDKL1,3.50e-01,1.55e-01
DEFB110,2.75e-01,-8.08e-02
PLXDC1,6.04e-01,1.06e-01
DEFB112,2.54e-01,-1.26e-01
FAM126A,2.64e-01,1.61e-01
TOP3B,2.29e-01,-9.51e-02
HIST4H4,2.25e-01,-1.21e-01
FGD4,2.94e-01,2.07e-01
PFKFB2,6.89e-01,-1.10e-01
FLJ44674,2.18e-01,-8.89e-02
ZFAND1,5.58e-01,-1.19e-01
MEF2A,2.77e-01,1.83e-01
LOC100128905,2.81e-01,-3.06e-01
SF1,7.40e-01,-7.80e-02
PPA2,3.00e-01,-1.22e-01
TSPAN1,2.23e-01,-1.02e-01
NES,4.64e-01,-1.33e-01
LOC400084,2.47e-01,9.28e-02
PRKRIP1,3.65e-01,-1.16e-01
FLJ42022,4.17e-01,-9.56e-02
KLF15,2.62e-01,-1.33e-01
ANKRD36,5.10e-01,2.67e-01
NINL,8.49e-01,-5.91e-02
GSTM1,4.09e-01,1.52e-01
LIG3,2.40e-01,-9.53e-02
SPRYD3,5.52e-01,-1.29e-01
BMS1P4,2.37e-01,-1.19e-01
NUF2,2.15e-01,1.14e-01
STK3,2.37e-01,2.00e-01
CHTOP,5.06e-01,-1.17e-01
DAZ2,2.27e-01,-1.22e-01
CNST,4.07e-01,-1.19e-01
MUC12,2.73e-01,-1.88e-01
NXN,2.12e-01,8.74e-02
FCRL6,2.41e-01,-2.11e-01
D2HGDH,2.42e-01,1.10e-01
HIST1H2BL,5.80e-01,1.95e-01
ONECUT1,6.69e-01,9.62e-02
FRG2C,2.37e-01,-7.72e-02
FGF6,2.12e-01,-7.09e-02
ARHGAP39,3.15e-01,-1.74e-01
SPG7,2.66e-01,-9.20e-02
SPINK6,9.52e-01,-1.11e-02
CACNA1D,2.34e-01,-1.05e-01
OPN1SW,2.34e-01,-8.39e-02
CABIN1,3.18e-01,-1.09e-01
DMD,2.22e-01,-1.26e-01
C1orf86,2.99e-01,1.19e-01
VN1R5,2.41e-01,-9.01e-02
LDLRAD2,4.37e-01,-1.20e-01
MANEAL,7.49e-01,-7.23e-02
DEFB109P1B,2.21e-01,-1.02e-01
CT45A5,3.26e-01,1.44e-01
NUCB1,2.31e-01,1.79e-01
ARHGAP40,2.24e-01,1.04e-01
NT5C2,6.56e-01,1.27e-01
MCF2L-AS1,5.70e-01,-1.21e-01
CPEB3,7.59e-01,-1.07e-01
SALL1,3.68e-01,1.60e-01
TUBA1C,4.04e-01,-3.04e-01
HEATR5A,3.71e-01,-1.69e-01
NME1,4.39e-01,1.49e-01
SRGAP2,4.21e-01,1.39e-01
RIT1,5.09e-01,1.12e-01
C6orf141,4.97e-01,-7.31e-02
C15orf33,3.15e-01,1.52e-01
MRPL52,2.48e-01,1.04e-01
KBTBD12,2.35e-01,1.50e-01
LOC283914,2.37e-01,-1.28e-01
FOXN2,4.45e-01,-2.14e-01
HSF1,4.07e-01,-1.29e-01
GPR126,7.44e-01,-5.28e-02
ARMCX2,6.62e-01,6.30e-02
FAM123B,3.62e-01,-1.21e-01
NKAIN3,2.99e-01,2.44e-01
ADAMTS16,3.00e-01,-9.60e-02
ZSCAN5D,2.21e-01,-1.14e-01
OR1I1,2.13e-01,7.49e-02
DCLRE1A,3.05e-01,1.68e-01
ERAP1,3.74e-01,2.35e-01
CD200R1,2.16e-01,-1.15e-01
BCDIN3D,2.26e-01,1.39e-01
OR11H12,2.13e-01,-9.20e-02
CXorf28,2.63e-01,2.24e-01
TMEM44,5.97e-01,9.17e-02
CEACAM1,2.91e-01,-8.70e-02
PRODH,6.64e-01,-1.21e-01
POGK,3.06e-01,-2.14e-01
CSAG2,2.54e-01,-1.00e-01
OXTR,9.23e-01,2.39e-02
PRR23B,2.31e-01,-9.32e-02
PSPH,9.73e-01,-2.03e-02
CCDC90A,2.88e-01,1.86e-01
LOC401286,2.90e-01,-1.95e-01
SLC2A8,2.94e-01,1.32e-01
DEDD,3.02e-01,-9.59e-02
RNF219,3.85e-01,1.27e-01
TCEANC2,2.19e-01,9.87e-02
KLHL7,2.91e-01,-2.41e-01
NDUFB1,4.53e-01,-1.39e-01
TSTD1,7.21e-01,1.18e-01
GUCY1A2,6.16e-01,-9.37e-02
ZNF783,2.91e-01,1.00e-01
DEFB108B,2.32e-01,-7.15e-02
CDC7,5.35e-01,9.67e-02
FLJ32955,2.90e-01,-1.01e-01
CTAGE5,2.13e-01,-7.27e-02
NAPRT1,4.27e-01,-9.12e-02
CNKSR2,6.54e-01,-7.42e-02
LOC399744,2.81e-01,-1.20e-01
PAX4,2.48e-01,-1.85e-01
ZACN,2.13e-01,9.10e-02
USP17L2,2.31e-01,-1.72e-01
LIMS2,4.48e-01,-1.99e-01
NUCKS1,3.15e-01,1.46e-01
DRG1,2.83e-01,1.83e-01
CXorf38,2.13e-01,-9.17e-02
RNASE3,5.70e-01,1.60e-01
LOC100132368,2.21e-01,1.26e-01
CNOT7,2.65e-01,1.85e-01
NT5C3,2.46e-01,1.29e-01
LOC100131564,6.64e-01,-1.53e-01
CCDC42,2.21e-01,-1.04e-01
KRTAP19-1,3.09e-01,8.89e-02
WDR26,2.27e-01,1.51e-01
ETS1,2.24e-01,1.04e-01
LRRC15,2.16e-01,-8.76e-02
NEDD4L,8.94e-01,3.72e-02
FITM1,2.15e-01,-7.97e-02
ATP2A2,4.94e-01,-2.63e-01
PPP1R9B,8.57e-01,4.54e-02
HIST1H2AE,2.58e-01,-2.46e-01
SLC36A4,4.38e-01,1.58e-01
MXRA7,8.74e-01,2.79e-02
ZNF451,8.21e-01,4.78e-02
HIST1H2BC,4.81e-01,1.88e-01
MGAT5,2.45e-01,-1.55e-01
BPIFA1,2.20e-01,8.91e-02
MINPP1,2.45e-01,1.43e-01
HEATR8,3.17e-01,1.41e-01
FRMD4B,8.42e-01,-6.03e-02
SLC18A1,2.23e-01,-8.07e-02
OR6M1,2.20e-01,9.83e-02
DDX11,2.46e-01,-2.15e-01
LINC00483,2.29e-01,-1.15e-01
CLDN4,2.19e-01,8.99e-02
TRIML2,2.26e-01,9.98e-02
LOC100132354,4.33e-01,-7.10e-02
USE1,2.30e-01,-1.43e-01
LOC100128551,2.22e-01,9.46e-02
SYT2,4.74e-01,-1.30e-01
FAM96A,3.66e-01,2.14e-01
LILRA5,2.38e-01,1.33e-01
MGAT1,7.86e-01,7.09e-02
ALDOC,8.58e-01,-4.50e-02
LOC100130920,3.88e-01,9.04e-02
MLIP,4.17e-01,2.49e-01
KIAA0889,2.43e-01,-9.93e-02
C11orf54,2.38e-01,1.87e-01
TOMM70A,4.09e-01,-1.61e-01
FAM195A,2.92e-01,1.49e-01
AMOT,2.24e-01,-1.30e-01
NFKBIZ,4.01e-01,1.20e-01
LOC441179,2.28e-01,-9.86e-02
TMEM67,2.51e-01,1.11e-01
COL24A1,3.26e-01,1.64e-01
FAM87A,2.20e-01,-7.33e-02
ENTPD6,6.92e-01,-1.04e-01
SPRYD5,2.36e-01,-1.82e-01
AFG3L1P,2.55e-01,-2.11e-01
HYDIN,7.48e-01,-6.63e-02
SPACA5,2.27e-01,-1.36e-01
GOLGA7,8.88e-01,-3.88e-02
FAIM3,4.88e-01,9.12e-02
MTFP1,9.17e-01,-2.12e-02
KRT32,2.76e-01,8.67e-02
SLC17A7,3.76e-01,-2.79e-01
XPO7,2.49e-01,-1.28e-01
CAMTA1,4.79e-01,-1.48e-01
SEMA3C,2.38e-01,-1.89e-01
KIAA1549,8.96e-01,-3.90e-02
CLEC1B,8.92e-01,2.15e-02
C5orf50,2.30e-01,-1.04e-01
HIST1H2AB,2.80e-01,1.33e-01
UBE2V1,4.66e-01,-1.12e-01
FLJ34223,2.11e-01,7.04e-02
AP1S3,5.64e-01,-7.32e-02
LOC100130705,2.37e-01,1.13e-01
CLPS,2.73e-01,-1.38e-01
ALG9,2.75e-01,-1.24e-01
psiTPTE22,2.59e-01,-9.51e-02
GDF9,2.21e-01,1.10e-01
APIP,4.04e-01,1.14e-01
PACSIN2,3.67e-01,-1.01e-01
ARMC5,2.38e-01,-1.18e-01
DCPS,6.81e-01,-5.51e-02
SOBP,2.18e-01,-1.10e-01
ALS2,2.38e-01,-9.04e-02
MYT1,2.45e-01,1.15e-01
FLJ44342,2.75e-01,-2.66e-01
HOXD4,2.57e-01,-9.85e-02
ALDH4A1,3.42e-01,1.96e-01
SLC25A2,3.20e-01,-8.12e-02
NPRL3,5.88e-01,-8.34e-02
MUC2,2.48e-01,-1.03e-01
LOC254896,2.34e-01,-1.31e-01
DBF4,2.48e-01,1.33e-01
CELF3,2.69e-01,-1.75e-01
SLC36A2,2.28e-01,8.67e-02
UBXN11,2.25e-01,-1.07e-01
FAR1,9.91e-01,3.16e-03
FOXN4,2.21e-01,-8.66e-02
C12orf61,2.43e-01,-1.19e-01
GOLGA8A,6.76e-01,-9.39e-02
IDH3G,3.44e-01,-1.97e-01
CTRB2,4.31e-01,-9.49e-02
QRICH1,2.28e-01,9.41e-02
STK11,6.24e-01,-8.58e-02
SEC14L6,2.26e-01,1.07e-01
CAGE1,3.05e-01,-1.21e-01
RANBP6,2.67e-01,-1.80e-01
CYP2B6,2.50e-01,-1.58e-01
GPR4,7.60e-01,-1.09e-01
MRPL43,2.54e-01,-1.03e-01
ABCC13,2.15e-01,-8.54e-02
RRNAD1,2.75e-01,-1.43e-01
C4orf37,2.53e-01,1.22e-01
ZNF423,3.48e-01,-9.11e-02
PHLDB3,2.78e-01,-1.14e-01
SEZ6,2.97e-01,-1.68e-01
SI,2.89e-01,-9.19e-02
C1orf144,2.37e-01,1.51e-01
BAGE,2.29e-01,9.51e-02
ATP5J2,4.29e-01,-2.28e-01
MMD2,5.18e-01,-1.25e-01
CSRNP3,6.90e-01,-1.24e-01
TTC1,2.70e-01,1.41e-01
TCP10L,2.34e-01,-8.26e-02
ATF3,4.89e-01,2.45e-01
SLC20A1,5.76e-01,-1.06e-01
ERVI-1,2.46e-01,-2.02e-01
ACSL6,7.76e-01,8.04e-02
ZNF302,3.81e-01,1.44e-01
PCDH20,9.43e-01,-1.72e-02
LOC340508,6.27e-01,-1.06e-01
CORO2A,6.98e-01,-7.16e-02
PER2,4.70e-01,1.58e-01
BTNL9,2.14e-01,-8.04e-02
NUDT10,2.44e-01,-1.54e-01
ATG5,2.77e-01,1.60e-01
DIRC2,3.51e-01,1.42e-01
BRWD1,3.45e-01,1.65e-01
TMEM200C,2.67e-01,1.34e-01
LPCAT4,6.05e-01,-1.16e-01
PTP4A3,7.22e-01,-5.96e-02
ZNF441,2.39e-01,1.21e-01
RYR2,5.02e-01,-1.34e-01
LTN1,7.07e-01,5.97e-02
OR2L8,2.82e-01,1.15e-01
C10orf129,3.08e-01,-7.39e-02
C2orf88,4.33e-01,-1.47e-01
LINC00273,2.96e-01,9.87e-02
GCOM1,2.93e-01,-2.11e-01
GH1,2.24e-01,-1.30e-01
CCDC56,3.22e-01,-2.84e-01
LOC100130938,5.23e-01,1.11e-01
SMARCD3,8.83e-01,-3.39e-02
AHDC1,5.39e-01,1.33e-01
SUN5,2.22e-01,-9.15e-02
LRRC61,3.87e-01,1.09e-01
SNHG1,5.32e-01,1.26e-01
LOC284244,2.38e-01,1.57e-01
CARHSP1,3.27e-01,-1.97e-01
GPT2,5.44e-01,1.03e-01
SLC25A16,3.93e-01,-2.10e-01
PP12613,2.55e-01,-2.11e-01
SPG11,6.75e-01,-7.18e-02
ACSS1,4.05e-01,-1.36e-01
PELO,5.31e-01,-9.24e-02
DEFB103B,3.04e-01,-1.08e-01
LOC729444,2.31e-01,-1.31e-01
EVC2,2.18e-01,9.84e-02
ATP2B1,7.40e-01,9.61e-02
SLC5A7,5.93e-01,-7.89e-02
KIR3DL1,2.29e-01,-8.75e-02
ZBTB44,3.77e-01,1.27e-01
AMPD1,2.37e-01,1.32e-01
GRIK3,8.73e-01,-5.36e-02
TMEM163,5.92e-01,1.00e-01
INADL,8.07e-01,4.49e-02
SPIN3,3.16e-01,-1.19e-01
NDUFS3,6.12e-01,-9.11e-02
ARRDC2,3.27e-01,-3.80e-01
PRPF4,2.45e-01,1.13e-01
CA12,5.84e-01,6.66e-02
NSF,5.55e-01,1.39e-01
KRTAP21-2,2.26e-01,8.70e-02
CD34,2.33e-01,-8.95e-02
TMEM160,3.99e-01,-2.55e-01
LINC00106,2.59e-01,1.56e-01
TNNT2,3.87e-01,-4.56e-01
EFCAB11,4.41e-01,-1.68e-01
PSMA2,5.66e-01,-9.44e-02
CNRIP1,8.58e-01,-6.65e-02
LOC283440,2.62e-01,-1.95e-01
SLC38A4,6.17e-01,7.08e-02
CMYA5,2.42e-01,1.69e-01
EPHA6,3.37e-01,-1.00e-01
SPEF2,2.68e-01,-1.35e-01
PLVAP,4.80e-01,1.24e-01
PCDHA9,2.45e-01,1.58e-01
EPHB2,4.29e-01,-1.14e-01
RPL21,5.29e-01,-1.23e-01
ANKRD36,4.59e-01,-2.04e-01
KIAA0748,5.22e-01,-2.35e-01
FBXO27,2.60e-01,-1.50e-01
FLJ30838,2.23e-01,-1.12e-01
OR52W1,2.43e-01,-1.86e-01
CCL1,2.64e-01,-7.49e-02
DHRS4L2,2.71e-01,1.60e-01
ND5,3.71e-01,-2.47e-01
DAPK3,2.96e-01,-1.97e-01
TIGD7,2.29e-01,-1.22e-01
TBCD,8.15e-01,-4.69e-02
BPTF,2.66e-01,-2.05e-01
AGGF1,2.87e-01,-1.90e-01
ADCK3,4.34e-01,-9.75e-02
MOB3B,4.26e-01,-2.24e-01
SLC22A7,4.97e-01,-1.46e-01
CAPNS1,4.01e-01,-1.47e-01
KRT8,3.20e-01,2.98e-01
C20orf197,2.34e-01,1.11e-01
KIAA0125,3.61e-01,1.59e-01
KCND3,2.79e-01,1.63e-01
TMPO,2.59e-01,1.40e-01
ORC4,2.76e-01,-2.02e-01
WDFY3-AS2,3.47e-01,-1.11e-01
C19orf66,3.82e-01,1.16e-01
LOC100131355,4.01e-01,1.62e-01
SCN9A,2.46e-01,-1.63e-01
OR10J1,2.16e-01,-7.66e-02
VAPB,4.42e-01,1.89e-01
FOXM1,2.57e-01,-1.34e-01
CDSN,2.28e-01,-1.01e-01
TOMM20,3.17e-01,-1.62e-01
CCR10,7.11e-01,-6.52e-02
DOCK9,3.14e-01,-2.73e-01
C11orf73,4.92e-01,-1.28e-01
SYTL1,5.48e-01,8.59e-02
NAT10,3.94e-01,8.75e-02
RAB18,2.77e-01,1.93e-01
HOXA2,7.26e-01,-4.85e-02
TESK1,3.11e-01,-1.40e-01
IPW,5.87e-01,-8.85e-02
COX7A1,4.93e-01,-6.65e-01
NAA25,3.61e-01,-1.38e-01
FLJ40712,2.19e-01,6.59e-02
LOC100132966,3.43e-01,-1.48e-01
LCE1E,4.26e-01,1.26e-01
OBSL1,3.36e-01,2.23e-01
PCF11,2.40e-01,1.72e-01
C1orf124,4.61e-01,9.94e-02
KIAA0240,2.60e-01,1.66e-01
ST18,4.74e-01,-2.36e-01
ATG4C,7.70e-01,-7.97e-02
FUT10,5.31e-01,9.14e-02
NRG3,5.31e-01,1.46e-01
SNAR-B1,2.94e-01,-2.68e-01
RNF113B,3.64e-01,-1.62e-01
LOC100132731,2.33e-01,-9.63e-02
CRISP2,2.89e-01,8.16e-02
TCF20,2.55e-01,-8.22e-02
MAP2K4,5.18e-01,1.05e-01
GPATCH3,2.44e-01,-1.14e-01
FBXL15,6.47e-01,1.05e-01
PVR,2.60e-01,-9.43e-02
KLF13,3.45e-01,-2.53e-01
LOC255480,2.20e-01,-9.25e-02
GRIN2D,3.76e-01,-1.41e-01
OR52E8,2.31e-01,-1.42e-01
ZNF833P,4.34e-01,-9.59e-02
FLJ42627,3.38e-01,-2.33e-01
SEH1L,2.63e-01,1.67e-01
CSNK1G1,2.35e-01,1.50e-01
PRRC2B,2.72e-01,-1.28e-01
CHD8,2.61e-01,-1.51e-01
RTBDN,2.26e-01,-8.06e-02
CLEC1B,4.14e-01,8.90e-02
CBY3,2.33e-01,-9.96e-02
SLC2A3,9.21e-01,-2.36e-02
CHDH,5.21e-01,-1.19e-01
PDZD2,2.77e-01,-2.09e-01
UNC5C,4.18e-01,-1.42e-01
CD47,7.22e-01,-9.10e-02
MAP4K5,8.26e-01,-6.53e-02
TM4SF1,9.23e-01,-2.44e-02
LOC344967,2.41e-01,-1.03e-01
LHX3,5.15e-01,-1.13e-01
PPIEL,2.45e-01,-1.31e-01
TTC33,3.38e-01,-1.73e-01
LOC144742,2.18e-01,8.51e-02
LINC00314,2.30e-01,-9.89e-02
IQSEC2,4.86e-01,1.65e-01
BCAS3,4.29e-01,9.75e-02
SPDYA,2.68e-01,-1.32e-01
GPR116,9.92e-01,-1.73e-03
FNTA,4.88e-01,-1.39e-01
ITGB3BP,2.58e-01,2.05e-01
PIK3CB,2.50e-01,1.20e-01
EFCAB4A,2.30e-01,1.32e-01
FADS6,2.42e-01,-1.16e-01
GLT6D1,2.47e-01,-1.80e-01
PPARD,3.11e-01,-1.39e-01
C8orf28,2.31e-01,1.03e-01
SULT1B1,3.27e-01,-1.28e-01
SEC23A,7.35e-01,8.74e-02
ZUFSP,2.32e-01,1.36e-01
ZKSCAN4,2.73e-01,1.26e-01
TGM7,2.40e-01,-7.88e-02
LOC100132891,2.44e-01,-1.10e-01
AURKA,2.33e-01,-1.36e-01
LOC100133106,2.27e-01,-1.19e-01
CHRFAM7A,3.53e-01,2.00e-01
GDI2,2.64e-01,-1.02e-01
C10orf57,2.95e-01,-1.38e-01
ZNF501,5.53e-01,1.60e-01
CIDEC,9.92e-01,-1.29e-03
LOC149351,2.39e-01,-1.62e-01
ATRX,2.82e-01,8.45e-02
SOX14,2.63e-01,-1.01e-01
SLC35F5,2.52e-01,1.08e-01
GTSE1,3.31e-01,-1.00e-01
TRANK1,9.31e-01,1.63e-02
VIPR2,2.88e-01,-2.24e-01
LINC00461,2.44e-01,-1.82e-01
LOC100132859,2.89e-01,1.75e-01
DENND1B,2.80e-01,1.97e-01
INE2,2.96e-01,8.18e-02
C3orf36,2.48e-01,-1.40e-01
AFF4,4.04e-01,1.55e-01
AP1G2,3.04e-01,1.16e-01
CDK19,7.15e-01,-1.12e-01
FAM106CP,6.22e-01,1.72e-01
ND1,3.93e-01,-1.99e-01
GPLD1,4.91e-01,-1.17e-01
PABPN1L,3.63e-01,-1.16e-01
SSX2,2.28e-01,-9.15e-02
PREP,2.39e-01,-1.07e-01
ZFHX4,7.66e-01,5.61e-02
DCAKD,2.64e-01,1.70e-01
MAP3K7,5.62e-01,1.27e-01
MOCS1,2.72e-01,-1.17e-01
CASK,2.33e-01,9.52e-02
NARF,4.03e-01,-1.46e-01
ETNK1,2.55e-01,1.60e-01
B4GALT7,4.11e-01,-9.39e-02
LOC100129581,2.22e-01,-7.89e-02
MC5R,2.34e-01,-6.86e-02
DHX34,2.78e-01,-1.73e-01
TCTN3,2.30e-01,-9.25e-02
LOC100129297,2.29e-01,-9.14e-02
CCDC33,2.38e-01,-1.49e-01
SLC26A7,4.28e-01,-7.18e-02
PSMC2,3.28e-01,1.21e-01
ALDH7A1,4.93e-01,9.23e-02
DOT1L,2.57e-01,-1.45e-01
MTL5,4.35e-01,-8.75e-02
THAP3,6.18e-01,-1.24e-01
RG9MTD1,5.67e-01,1.23e-01
CDNF,3.38e-01,-1.68e-01
PCNXL2,8.97e-01,-3.21e-02
TMPRSS7,2.46e-01,8.23e-02
ARHGEF15,5.45e-01,-9.80e-02
OR2T12,2.42e-01,-1.74e-01
CLCN6,2.47e-01,1.14e-01
GSTM2,2.40e-01,1.33e-01
IVL,2.57e-01,-9.71e-02
NR1I2,3.29e-01,-7.91e-02
HMGB4,2.32e-01,-7.89e-02
CRYBB3,2.28e-01,-1.19e-01
COG1,2.67e-01,-1.90e-01
IRS1,3.38e-01,8.63e-02
SNRPD1,4.75e-01,-1.06e-01
THEMIS,3.78e-01,-3.80e-01
HSP90AB2P,9.20e-01,3.20e-02
SUMO1P3,2.79e-01,-2.28e-01
GDPD4,3.03e-01,-8.34e-02
IFNA7,2.42e-01,-8.19e-02
ZNF300P1,9.70e-01,-1.36e-02
EMILIN3,2.27e-01,-8.78e-02
TMBIM1,6.58e-01,8.95e-02
FLJ10661,2.39e-01,-1.12e-01
LOC286121,2.36e-01,-9.23e-02
NDUFB5,4.47e-01,-1.85e-01
RNF130,6.10e-01,1.45e-01
RGN,8.73e-01,2.45e-02
DHX37,3.34e-01,-1.26e-01
SHOX2,2.89e-01,2.53e-01
SAMD13,3.38e-01,1.35e-01
CFLAR,2.54e-01,1.94e-01
CD96,9.07e-01,-2.16e-02
C14orf178,2.33e-01,-1.36e-01
PPP2R5D,6.95e-01,-7.54e-02
TMED5,3.97e-01,2.02e-01
LOC541471,9.38e-01,-1.60e-02
MUSK,3.23e-01,-8.52e-02
UBL4B,2.49e-01,-1.84e-01
PSD3,6.24e-01,1.25e-01
VASH1,7.72e-01,5.50e-02
RALGPS1,2.88e-01,-1.96e-01
PHACTR4,3.78e-01,1.16e-01
AKNAD1,2.41e-01,-1.02e-01
ECI1,5.07e-01,8.30e-02
KRT42P,2.38e-01,-1.18e-01
PHF6,3.54e-01,1.31e-01
FLJ42969,2.42e-01,8.04e-02
PTPRK,8.96e-01,-2.63e-02
LOC651536,2.40e-01,8.45e-02
